Dates,5Y,10Y,15Y,Butterfly 10y,Curve 10y,Currency
1/1/2008,7.261375,6.912,6.744375,-0.090875,-0.167625,AUD
2/1/2008,7.5743,7.25,7.0675,-0.0709,-0.1825,AUD
3/1/2008,7.413875,7.24575,7.093625,-0.008,-0.152125,AUD
4/1/2008,7.421875,7.19875,7.0375,-0.0309375,-0.16125,AUD
5/1/2008,7.451,7.234,7.1221,-0.05255,-0.1119,AUD
6/1/2008,7.841375,7.5195,7.36375,-0.0830625,-0.15575,AUD
7/1/2008,7.543875,7.326625,7.183125,-0.036875,-0.1435,AUD
8/1/2008,6.7954,6.7102,6.6461,-0.01055,-0.0641,AUD
9/1/2008,6.596875,6.48375,6.34375,0.0134375,-0.14,AUD
10/1/2008,5.7545,5.871,5.764,0.11175,-0.107,AUD
11/1/2008,5.005625,5.387,5.28075,0.2438125,-0.10625,AUD
12/1/2008,4.523875,4.677625,4.540125,0.145625,-0.1375,AUD
1/1/2009,4.09654,4.39822,4.28672,0.20659,-0.1115,AUD
2/1/2009,4.195,4.78345,4.791575,0.2901625,0.008125,AUD
3/1/2009,4.23375,4.846125,4.95155,0.253475,0.105425,AUD
4/1/2009,4.603625,5.12375,5.23325,0.2053125,0.1095,AUD
5/1/2009,4.82456,5.4398,5.53636,0.25934,0.09656,AUD
6/1/2009,5.547325,6.053625,6.194825,0.18255,0.1412,AUD
7/1/2009,5.441,5.9242,6.051,0.1782,0.1268,AUD
8/1/2009,5.808875,6.083125,6.122625,0.117375,0.0395,AUD
9/1/2009,5.701875,5.97125,5.98345,0.1285875,0.0122,AUD
10/1/2009,5.9021,6.1098,6.11706,0.10022,0.00726,AUD
11/1/2009,5.889425,6.12325,6.141875,0.1076,0.018625,AUD
12/1/2009,5.853325,6.1755,6.215775,0.14095,0.040275,AUD
1/1/2010,5.755,6.1295,6.1821,0.16095,0.0526,AUD
2/1/2010,5.62375,6.029375,6.111875,0.1615625,0.0825,AUD
3/1/2010,5.778125,6.10625,6.190625,0.121875,0.084375,AUD
4/1/2010,5.88406,6.1895,6.2836,0.10567,0.0941,AUD
5/1/2010,5.5875,5.93875,6.02375,0.133125,0.085,AUD
6/1/2010,5.51875,5.839375,5.931875,0.1140625,0.0925,AUD
7/1/2010,5.3325,5.624,5.718,0.09875,0.094,AUD
8/1/2010,5.181875,5.4325,5.52755,0.0777875,0.09505,AUD
9/1/2010,5.3663,5.5305,5.5985,0.0481,0.068,AUD
10/1/2010,5.5285,5.659,5.7211,0.0342,0.0621,AUD
11/1/2010,5.77595,5.96125,6.01575,0.0654,0.0545,AUD
12/1/2010,5.8463,6.10444,6.19526,0.08366,0.09082,AUD
1/1/2011,5.760325,6.049375,6.13375,0.1023375,0.084375,AUD
2/1/2011,5.853725,6.131875,6.211875,0.099075,0.08,AUD
3/1/2011,5.6575,5.971875,6.047825,0.1192125,0.07595,AUD
4/1/2011,5.76202,6.06026,6.153,0.10275,0.09274,AUD
5/1/2011,5.622825,5.865625,5.945625,0.0814,0.08,AUD
6/1/2011,5.410625,5.69845,5.8097,0.0882875,0.11125,AUD
7/1/2011,5.30276,5.66026,5.81926,0.09925,0.159,AUD
8/1/2011,4.70965,5.15655,5.3655,0.118975,0.20895,AUD
9/1/2011,4.5321,4.89782,5.08696,0.08829,0.18914,AUD
10/1/2011,4.71605,5.1173,5.306775,0.1058875,0.189475,AUD
11/1/2011,4.399075,4.84625,5.03475,0.1293375,0.1885,AUD
12/1/2011,4.29046,4.66186,4.8641,0.08458,0.20224,AUD
1/1/2012,4.31145,4.678825,4.85325,0.096475,0.174425,AUD
2/1/2012,4.462375,4.7912,4.98245,0.0687875,0.19125,AUD
3/1/2012,4.57506,4.90526,5.0937,0.07088,0.18844,AUD
4/1/2012,4.226375,4.591875,4.790625,0.083375,0.19875,AUD
5/1/2012,3.7025,4.120625,4.315875,0.1114375,0.19525,AUD
6/1/2012,3.5425,3.93578,4.1066,0.11123,0.17082,AUD
7/1/2012,3.465625,3.83,4.039125,0.077625,0.209125,AUD
8/1/2012,3.66376,4.0235,4.2183,0.08247,0.1948,AUD
9/1/2012,3.42625,3.8597,4.095,0.099075,0.2353,AUD
10/1/2012,3.201875,3.6719,3.9225,0.1097125,0.2506,AUD
11/1/2012,3.3475,3.77652,4.015,0.09527,0.23848,AUD
12/1/2012,3.354375,3.840325,4.128125,0.099075,0.2878,AUD
1/1/2013,3.4375,3.9572,4.293775,0.0915625,0.336575,AUD
2/1/2013,3.48625,4.035,4.3672,0.108275,0.3322,AUD
3/1/2013,3.5785,4.10802,4.4245,0.10652,0.31648,AUD
4/1/2013,3.404375,3.906275,4.200875,0.10365,0.2946,AUD
5/1/2013,3.3015,3.883,4.1816,0.14145,0.2986,AUD
6/1/2013,3.48,4.16285,4.43645,0.204625,0.2736,AUD
7/1/2013,3.609375,4.3269,4.605625,0.2194,0.278725,AUD
8/1/2013,3.5435,4.3085,4.62476,0.22437,0.31626,AUD
9/1/2013,3.743125,4.494075,4.817,0.2140125,0.322925,AUD
10/1/2013,3.764375,4.483425,4.7847,0.2088875,0.301275,AUD
11/1/2013,3.795,4.57226,4.86954,0.23999,0.29728,AUD
12/1/2013,3.793125,4.6347,4.97655,0.2498625,0.34185,AUD
1/1/2014,3.69,4.4985,4.84876,0.22912,0.35026,AUD
2/1/2014,3.7075,4.471875,4.827875,0.2041875,0.356,AUD
3/1/2014,3.70875,4.440625,4.783875,0.1943125,0.34325,AUD
4/1/2014,3.63045,4.32625,4.6425,0.189775,0.31625,AUD
5/1/2014,3.4462,4.1065,4.4172,0.1748,0.3107,AUD
6/1/2014,3.3955,4.041875,4.346375,0.1709375,0.3045,AUD
7/1/2014,3.22095,3.84,4.141625,0.1587125,0.301625,AUD
8/1/2014,3.23024,3.7805,4.05736,0.1367,0.27686,AUD
9/1/2014,3.403875,3.932825,4.224125,0.118825,0.2913,AUD
10/1/2014,3.22126,3.711,3.9994,0.10067,0.2884,AUD
11/1/2014,3.126825,3.624375,3.938875,0.091525,0.3145,AUD
12/1/2014,2.836875,3.33625,3.637375,0.099125,0.301125,AUD
1/1/2015,2.584,2.9505,3.1853,0.06585,0.2348,AUD
2/1/2015,2.460125,2.8647,3.0695,0.0998875,0.2048,AUD
3/1/2015,2.45625,2.883775,3.0957,0.1078,0.211925,AUD
4/1/2015,2.381875,2.7497,2.964075,0.076725,0.214375,AUD
5/1/2015,2.6225,3.10576,3.37228,0.10837,0.26652,AUD
6/1/2015,2.77125,3.37845,3.65095,0.16735,0.2725,AUD
7/1/2015,2.64528,3.24028,3.51276,0.16126,0.27248,AUD
8/1/2015,2.53405,3.055625,3.31315,0.132025,0.257525,AUD
9/1/2015,2.467225,3.00815,3.27155,0.1387625,0.2634,AUD
10/1/2015,2.3995,2.91876,3.1795,0.12926,0.26074,AUD
11/1/2015,2.54845,3.0219,3.289725,0.1028125,0.267825,AUD
12/1/2015,2.581575,3.012025,3.26845,0.0870125,0.256425,AUD
1/1/2016,2.44876,2.86426,3.11664,0.08156,0.25238,AUD
2/1/2016,2.300975,2.613125,2.8436,0.0408375,0.230475,AUD
3/1/2016,2.422675,2.713775,2.9372,0.0338375,0.223425,AUD
4/1/2016,2.3805,2.65778,2.84802,0.04352,0.19024,AUD
5/1/2016,2.082975,2.400325,2.61125,0.0532125,0.210925,AUD
6/1/2016,2.038775,2.2975,2.492825,0.0317,0.195325,AUD
7/1/2016,1.93828,2.1215,2.2757,0.01451,0.1542,AUD
8/1/2016,1.90505,2.1219,2.2825,0.028125,0.1606,AUD
1/1/2008,4.11025,4.460875,4.655125,0.0781875,0.19425,CAD
2/1/2008,3.9743,4.4221,4.6763,0.0968,0.2542,CAD
3/1/2008,3.706625,4.263625,4.591,0.1148125,0.327375,CAD
4/1/2008,3.791875,4.279,4.59925,0.0834375,0.32025,CAD
5/1/2008,3.7615,4.2073,4.5011,0.076,0.2938,CAD
6/1/2008,3.945125,4.312625,4.5405,0.0698125,0.227875,CAD
7/1/2008,3.925,4.262625,4.470375,0.0649375,0.20775,CAD
8/1/2008,3.5855,4.0878,4.3822,0.10395,0.2944,CAD
9/1/2008,3.55925,4.076,4.419,0.086875,0.343,CAD
10/1/2008,3.1851,3.9768,4.4219,0.1733,0.4451,CAD
11/1/2008,2.60425,3.412,3.957375,0.1311875,0.545375,CAD
12/1/2008,1.94775,2.72625,3.313375,0.0956875,0.587125,CAD
1/1/2009,1.6745,2.5779,3.3174,0.08195,0.7395,CAD
2/1/2009,1.863,2.828,3.5832,0.1049,0.7552,CAD
3/1/2009,1.696,2.62925,3.44825,0.057125,0.819,CAD
4/1/2009,1.774625,2.781875,3.525,0.1320625,0.743125,CAD
5/1/2009,2.1011,3.0956,3.8097,0.1402,0.7141,CAD
6/1/2009,2.684625,3.584125,4.232075,0.125775,0.64795,CAD
7/1/2009,2.6517,3.5672,4.2435,0.1196,0.6763,CAD
8/1/2009,2.721875,3.581625,4.207875,0.11675,0.62625,CAD
9/1/2009,2.63275,3.455375,4.038075,0.1199625,0.5827,CAD
10/1/2009,2.8103,3.6012,4.09188,0.15011,0.49068,CAD
11/1/2009,2.6455,3.565375,4.11475,0.18525,0.549375,CAD
12/1/2009,2.700375,3.66625,4.21825,0.2069375,0.552,CAD
1/1/2010,2.73372,3.7104,4.26326,0.21191,0.55286,CAD
2/1/2010,2.685375,3.66225,4.232625,0.20325,0.570375,CAD
3/1/2010,2.882825,3.70525,4.22255,0.1525625,0.5173,CAD
4/1/2010,3.19718,3.88746,4.3369,0.12042,0.44944,CAD
5/1/2010,2.975875,3.71495,4.135875,0.159075,0.420925,CAD
6/1/2010,2.860775,3.6472,4.11575,0.1589375,0.46855,CAD
7/1/2010,2.5956,3.45684,3.997,0.16054,0.54016,CAD
8/1/2010,2.249625,3.123475,3.676775,0.160275,0.5533,CAD
9/1/2010,2.2335,3.074875,3.5928,0.161725,0.517925,CAD
