Moody's,S&P,Fitch,Value
Aaa,AAA,AAA,1
Aa1,AA+,AA+,2
Aa2,AA,AA,3
Aa3,AA-,AA-,4
A1,A+,A+,5
A2,A,A,6
A3,A-,A-,7
Baa1,BBB+,BBB+,8
Baa2,BBB,BBB,9
Baa3,BBB-,BBB-,10
Ba1,BB+,BB+,11
Ba2,BB,BB,12
Ba3,BB-,BB-,13
B1,B+,B+,14
B2,B,B,15
B3,B-,B-,16
Caa1,CCC+,CCC+,17
Caa2,CCC,CCC,18
Caa3,CCC-,CCC-,19
Ca,CC,CC,20
C,C,C,21
D,D,D,22
NR,NR,NR,0
