Date,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,15Y,20Y,30Y
1/1/2008,,,,-1.775,-1.8875,-1.9,-1.9125,-1.8875,-1.95,-1.95,-1.9125,-1.95,-2.0225,-2.1125,-2.39375,-2.3125,-2.3375
2/1/2008,,,,-3.25,-2.94,-2.68,-2.59,-2.57,-2.56,-2.59,-2.62,-2.635,-2.65,-2.68,-2.74,-2.76,-2.82
3/1/2008,,,,-7.8625,-7.6,-7.1625,-6.4125,-5.8375,-5.4625,-5.25,-5.1875,-5.00625,-4.9375,-3.333333333,-4.71875,-4.71875,-4.71875
4/1/2008,,,,-17.55,-15.775,-14.65,-13.71875,-12.96875,-12.4625,-11.25,-10.7325,-9.9525,-8.725,-8.2875,-7.85625,-7.30625,-7.28125
5/1/2008,,,,-15.72,-14.03,-13.18,-12.55,-12.23,-11.225,-10.61,-9.96,-9.3,-8.6375,-8.02,-7.66,-7.01,-6.575
6/1/2008,,,,-26.75,-20.53125,-19.66625,-18.69375,-17.9375,-16.975,-16.3625,-14.96875,-14,-13.5,-12.475,-11.59375,-10.7625,-9.60625
7/1/2008,-25,-24,-22.5,-23.8,-18.53125,-16.56375,-14.96875,-14.2275,-13.375,-12.57,-11.85,-11.3625,-11.0325,-10.4625,-9.75,-9.06375,-7.82875
8/1/2008,-23.375,-22.975,-22.475,-24.23,-17.2,-14.885,-13.65,-12.776,-12,-11.889,-11.34,-11.09,-10.986,-10.6,-10.05,-9.276,-8.221
9/1/2008,-44.5,-30.625,-30.59375,-30.3,-22.5,-19.08,-17.25,-15.985,-15.225,-14.3975,-14.11875,-14.1,-13.60375,-12.5625,-12.9375,-12.485,-10.8875
10/1/2008,-74,-98.33333333,-67.5,-42.875,-38.45,-32.285,-29.25,-24.5,-22.95,-20.06,-18.535,-17.405,-15.25,-13.9,-12,-11.55,-9.925
11/1/2008,-163.75,-110,-90.625,-78.2125,-66.875,-59.8125,-51.375,-44.475,-38.4375,-32.7375,-28.6625,-24.8375,-20.9875,-17.875,-12.8125,-8.8375,-6.475
12/1/2008,-97,-82.5,-79,-68.0625,-63.75,-56.51875,-48.84375,-41.4375,-35.4375,-28.86875,-25.425,-21.7,-18.31875,-14.125,-12.96875,-8.65,-3.75625
1/1/2009,-48.5,-51,-45,-40.73,-40.55,-38.81,-35.525,-32.63,-29.65,-26.1,-23.035,-19.765,-16.98,-13.9,-11.875,-7.99,-4.16
2/1/2009,-66.25,-58.75,-49.25,-47.7,-50.3125,-51.25,-51.75,-50.3875,-45.75,-40.625,-36.98125,-33.20625,-29.5,-24.6875,-15.8125,-10.8,-5.7875
3/1/2009,-64,-62.5,-62.66666667,-65.05,-62.90625,-62.7375,-63.40625,-63.7375,-59.625,-55.925,-51.9625,-48.6625,-45.475,-39.25,-30.375,-22.6625,-15.5625
4/1/2009,-39.75,-39.75,-42.75,-41.8,-41.875,-43.0875,-43.5,-43.5625,-42,-39.575,-37.375,-36.0625,-34.4875,-31.75,-28.8125,-21,-14.35
5/1/2009,-40.1,-36.6,-36.3,-32.49,-35.6,-38.04,-41,-39.58,-38.4,-36.76,-34.98,-33.24,-31.63,-28.6,-25.8,-18.46,-13.62
6/1/2009,-49.4375,-41.75,-38.75,-39.8,-38,-40.55,-40.5,-40.925,-40.325,-40.0625,-39.225,-38.7625,-38.5625,-34.8,-28.5,-20.25,-15.275
7/1/2009,-40.4,-36.4,-34.6,-32.41,-34.1,-34.14,-34.5,-34.26,-33.88,-32.79,-32.46,-31.66,-30.37,-27.8,-21.9,-14.47,-9.43
8/1/2009,-27.625,-25.5,-25.125,-22.5875,-25.96875,-26.35,-27.46875,-27.4625,-27.40625,-25.975,-25.525,-24.8375,-23.675,-22.16875,-18.84375,-12.36875,-9.49375
9/1/2009,-28,-26.625,-25.75,-25.225,-27,-29.225,-31.5,-32.3,-32.40625,-31.8125,-31.6875,-31.25,-30.5,-28.0625,-24.75,-19.5375,-13.625
10/1/2009,-14.1,-14.9,-15.85,-14.42,-17.1,-18.91,-20.35,-21.26,-21.98,-22.31,-22.74,-23.03,-23.2,-22.21,-21.53,-16,-9.51
11/1/2009,-11.25,-12,-12.375,-12.2125,-14.0625,-14.95,-15.84375,-16.75,-17.5375,-18.9125,-19.475,-20.3375,-21.49375,-21.1875,-21.0875,-16.5625,-10.2
12/1/2009,-13,-13,-12,-12.975,-14.875,-16.4,-17.275,-17.575,-19.55,-19.9125,-21.7875,-23.15,-24.0375,-24.1375,-23.6625,-19.6625,-11.2875
1/1/2010,-12.4,-11.9,-11.85,-11.42,-12.275,-13.17,-14.17,-14.98,-15.95,-16.93,-17.78,-18.705,-19.545,-19.66,-20.61,-18.09,-10.38
2/1/2010,-12.625,-12.625,-11.9375,-12.85,-13.3375,-12.7375,-13.0125,-12.75,-13.3,-13.975,-14.7875,-15.675,-16.45,-17.175,-18.225,-17.3625,-9.9
3/1/2010,-13.5,-14.5,-15,-14.8375,-15.2,-14.9375,-14.8375,-14.775,-14.95625,-15.275,-15.84375,-16.26875,-16.825,-16.9875,-17.3875,-16.8875,-10.4375
4/1/2010,-14.6,-14.5,-14.4,-14.44,-15.285,-15.475,-15.91,-16.02,-16.21,-16.46,-16.81,-17.16,-17.63,-17.86,-18.13,-17.56,-11.52
5/1/2010,-25.5,-25.375,-24.75,-22.725,-24.625,-24.25,-24.75,-24.175,-24.375,-23.925,-23.9125,-23.55,-22.675,-22.7,-22.21875,-20.625,-14.8
6/1/2010,-23.625,-23,-22.875,-22.50625,-23.775,-24.625,-24.75,-24.775,-25,-24.8875,-24.9125,-24.9125,-24.925,-24.7125,-24.21875,-21.625,-15.6
7/1/2010,-9.7,-11.7,-12,-13.16,-13.84,-14.5,-15,-15.1175,-15.68,-15.6375,-16.75,-17.2,-17.815,-17.63,-17.9,-17.545,-12.275
8/1/2010,-15.8125,-14.1875,-13.6875,-12.675,-12.75625,-12.26875,-12.6125,-12.7875,-14,-14.5,-15.7,-16.45,-16.6375,-17.25,-17.3875,-16.75625,-11.85
9/1/2010,-17.0625,-15.3125,-13.6875,-13.7875,-12.6,-11.5625,-11.7125,-11.2375,-12.3,-12.7,-13.9875,-14.8375,-15.33125,-16.00625,-16.65,-16.31875,-10.6125
10/1/2010,-16.2,-13.4,-10.45,-6.451,-6.762,-5.21,-5.09,-5.39,-5.79,-6.714,-8.12,-9.41,-10.921,-11.99,-13.827,-12.605,-8.21
11/1/2010,-15.75,-11,-8.375,-3.51375,0.71125,0.61875,-0.20375,-0.175,-1.25,-2.8025,-4.2875,-5.825,-7.3925,-8.57125,-10.23125,-10.2625,-7.225
12/1/2010,-16.5,-11,-7.85,-4.5115,-0.543,0.8705,-2.562,0.082,-1.205,-2.9895,-3.91,-5.24,-6.61,-7.96,-9.713,-10.165,-5.75
1/1/2011,-15.84375,-9.875,-8.166666667,-4.2125,1.0475,4.250625,5.685,6.06,4.81875,3.6375,2.7,1.775,0.85625,-1.205,-4.39875,-5.25625,-1.21875
2/1/2011,-11,-7.0625,,-4.75,0.5775,3.196875,4.24375,4.6,4.0125,3.35375,2.425,1.3,-0.140625,-1.1875,-3.325,-4.4875,-0.575
3/1/2011,-6.78125,-4.6875,,-2.8375,0.5,3.065625,3.190625,3.148125,2.575,1.74875,1.0375,0.3,-0.315625,-2.4875,-4.32125,-4.66875,-0.65
4/1/2011,-4.55,-1.775,,3.34,3.9745,5.738,6.1125,6.0645,5.07,4.1025,3.41,2.625,2.0375,0.41,-2.02,-2.811,0.68
5/1/2011,-8.90625,-4.75,,1.1875,2.94375,5.544375,5.5975,5.88375,4.43125,3.5325,2.75625,2.025,1.114375,-0.2,-1.8135,-3.0125,1.1125
6/1/2011,-12.25,-8.75,,-3.9,1.9375,3.485625,4.4375,4.48125,3.9125,3.23125,2.8375,2.175,1.6875,0.3875,-1.625,-2.0625,2.4625
7/1/2011,-15.5,-10.8,,-4.76,-0.109,2.4075,2.713,3.212,2.44,2.485,1.72,1.45,0.922,0.34,-0.5004,-1.14,3.65
8/1/2011,-18.34375,-11.59375,,-7.340625,-3.1875,-2.84375,-2.63125,-2.56875,-2.79375,-1.90625,-2.98125,-3.15,-3.375,-3.34375,-3.38125,-3.36875,2.125
9/1/2011,-21.675,-17.3,,-11.47,-6.598,-4.875,-4.623,-3.941,-4.805,-4.65,-5.08,-5.18,-4.995,-5.5,-4.3022,-4.72,2.33
10/1/2011,-19.3125,-16.40625,-11.5,-10.4875,-7.89875,-7.59,-8.41625,-8.75,-9.4875,-9.94125,-10.35,-10.65,-10.85625,-10.875,-11.03125,-9.325,-0.375
11/1/2011,-19.875,-16.0625,-13.15625,-11.9625,-9.3375,-9.8875,-12.1375,-13.8875,-15.1375,-16.4125,-16.7375,-17.225,-17.71625,-18.1875,-18.61875,-16.48125,-6.475
12/1/2011,-14.975,-11.275,-9.025,-6.64,-5.46,-6.61,-8.95,-10.72,-12.15,-13.76,-14.38,-15.37,-16.28,-17.29,-18.68,-16.48,-4.56
1/1/2012,-17.53125,-13.59375,-10.71875,-8.95,-3.93625,-2.2,-2.3125,-3.46,-5.2125,-6.9625,-8.10625,-9.2,-10.2875,-11.8875,-13.69375,-12.3375,-0.425
2/1/2012,-25.90625,-20.71875,-16.5,-13.0375,-6.394375,-0.0875,1.03375,3.20125,2.3875,1.853125,1.20625,0.40625,-0.4525,-0.825,-1.68125,-1.34375,10.225
3/1/2012,-30.525,-24.5,-19.775,-17.17,-10.545,-6.2575,-3.072,-1.135,-1.49,-1.98,-2.51,-2.815,-3.175,-3.58,-4.35,-3.05,7.4
4/1/2012,-30.40625,-26.375,-21.875,-19.825,-12.15875,-6.66625,-3.3125,-1.1875,-1.1375,-1.29375,-1.7,-2.1375,-2.56375,-3.025,-3.625,-2.65,7.35
5/1/2012,-32.875,-30.8125,-28.1875,-25.45,-18.875,-14.14375,-11.16125,-8.5375,-8.93125,-8.60375,-9.08125,-9.1625,-9.18625,-9.2375,-9.45,-8.85,-0.75
