Date,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,15Y,20Y,30Y
2008-01-01,,,,-0.35875,0.9187500000000001,1.73125,2.3625,3.10625,3.3,3.4375,3.4875,3.5375,3.65,3.15,2.625,1.43125,0.5125
2008-02-01,,,,-0.24500000000000002,1.3599999999999999,2.41,3.375,4.33,4.9,5.43,5.68,5.994999999999999,6.209999999999999,6.32,6.32,6.18,5.95
2008-03-01,,,,3.75,6.5375,9.9875,13.0875,14.6875,16.5375,17.5875,18.525,19.775,21.0625,22.5875,22.75,22.875,22.375
2008-04-01,,,,-4.5625,-0.7000000000000001,1.25,3.3625000000000003,5.3100000000000005,7.125,9.65,11.296875,11.890625,12.0625,12.03125,12.1875,12.125,11.9375
2008-05-01,,,,-7.2299999999999995,-3.4,-2.07,-0.67,0.558,2.2800000000000002,4.05,5.0875,6.0,6.625,7.175,7.325,7.25,7.15
2008-06-01,,,,-12.4,-9.18125,-7.699999999999999,-6.5,-5.475,-4.2625,-2.75,-2.00625,-1.04375,-0.08749999999999991,0.59375,1.21875,1.678625,1.828125
2008-07-01,,,,-17.5625,-12.5625,-10.0,-7.2625,-5.2375,-2.7125,-0.53125,0.81875,2.209375,3.390625,4.4375,5.28125,5.645,6.35375
2008-08-01,,,,-20.076,-16.630000000000003,-14.437999999999999,-11.945,-9.431000000000001,-6.365,-3.614,-1.5795,0.225,1.089,2.425,3.275,3.5759999999999996,4.1165
2008-09-01,,,,-26.88125,-20.5,-16.26625,-12.9375,-10.313749999999999,-8.837499999999999,-4.31625,-1.75,-0.8125,2.21875,4.1875,4.859375,6.50125,7.7725
2008-10-01,,,,-40.825,-30.1,-23.475,-19.4,-13.825,-10.89,-8.825,-3.625,-2.95,-2.075,0.6,1.625,3.375,5.585
2008-11-01,,,,-36.59375,-27.875,-22.1875,-18.875,-16.125,-14.075,-12.59375,-8.984375,-7.28125,-7.703125,-5.3725000000000005,-4.125,-4.0625,-3.25
2008-12-01,,,,-30.75,-27.75,-25.6875,-24.0625,-22.3125,-20.5625,-17.96875,-16.6875,-15.28125,-13.78125,-11.578125,-9.625,-7.78125,-5.84375
2009-01-01,,,,-27.838,-26.6,-25.4,-23.65,-21.363,-18.15,-14.875,-11.65,-9.125,-6.537999999999999,-2.625,0.55,1.6119999999999997,4.813000000000001
2009-02-01,,,,-38.3125,-45.5625,-49.96875,-51.875,-51.96125,-49.625,-46.8825,-44.375,-41.125,-37.21875,-33.125,-25.375,-18.82875,-11.485
2009-03-01,,,,-27.375,-42.0,-51.0625,-55.5,-56.42375,-55.5,-54.43875,-52.5,-50.5,-48.57875,-42.5,-33.5625,-22.09375,-8.657499999999999
2009-04-01,,,,-22.9375,-33.5625,-41.375,-45.8125,-46.75,-46.5,-45.375,-44.03125,-42.59375,-40.875,-36.25,-30.125,-20.6875,-8.1575
2009-05-01,,,,-22.75,-31.15,-35.976,-39.86,-40.95,-40.339999999999996,-39.525999999999996,-38.019999999999996,-36.760000000000005,-35.325,-32.46,-27.9,-19.75,-8.175999999999998
2009-06-01,,,,-29.1875,-33.1875,-38.71875,-43.0,-44.805,-43.85,-42.95375,-41.825,-40.625,-39.37625,-36.8375,-33.95,-28.2975,-16.76625
