Date,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y
2008-01-01,-6.875,-5.025,-3.725,-3.025,-2.6625,-2.4,-2.0875,-1.85,-1.625,-1.3625,1.225,1.5
2008-02-01,-6.7,-5.220000000000001,-4.05,-3.15,-2.7700000000000005,-2.4400000000000004,-2.0300000000000002,-1.7899999999999998,-1.55,-1.3,1.09,1.35
2008-03-01,-7.3125,-5.8125,-4.6875,-3.85625,-3.3812499999999996,-2.65,-2.3812499999999996,-1.95,-1.75,-1.725,0.25,0.7125
2008-04-01,-7.0875,-5.3375,-4.2625,-3.4000000000000004,-2.9000000000000004,-3.0875,-2.2,-2.4625,-2.15,-1.4874999999999998,0.44999999999999996,-0.037500000000000006
2008-05-01,-8.92,-6.25,-4.41,-3.785,-3.3549999999999995,-2.8649999999999998,-2.4699999999999998,-2.285,-2.045,-1.7550000000000001,0.78,0.745
2008-06-01,-17.5,-11.0625,-7.9375,-6.25,-5.2875,-4.46875,-4.1875,-3.6,-3.3,-3.375,-1.03125,-0.8125
2008-07-01,-21.0625,-14.0625,-10.78125,-8.25,-7.125,-6.35625,-6.03125,-5.5,-5.1812499999999995,-5.03125,-2.90625,-2.6875
2008-08-01,-22.125,-15.275,-12.0,-9.525,-8.0,-7.3125,-6.475,-6.225,-5.9125,-5.475,-3.45,-2.725
2008-09-01,-31.875,-21.8125,-16.6875,-12.5,-10.78125,-9.625,-8.375,-8.95,-8.3625,-6.625,-4.125,-3.3125
2008-10-01,-61.1,-40.4,-30.2,-22.6,-18.6,-15.7,-14.075,-12.57,-10.465,-9.4,-7.8,-5.95
2008-11-01,-86.75,-54.1875,-40.25,-31.125,-25.5,-22.375,-19.28125,-17.425,-15.825,-14.78125,-10.65625,-8.65625
2008-12-01,-86.25,-53.5,-38.5,-31.0,-26.0,-23.333333333333332,-20.0,-18.6625,-17.2125,-16.0,-11.5,-9.5
2009-01-01,-52.25,-31.55,-23.75,-20.275,-18.275,-21.5,-16.35,-16.1,-16.5,-14.85,-10.4,-8.1
2009-02-01,-45.625,-33.875,-30.0,-28.0,-26.75,,-23.25,-21.875,-20.75,-20.625,-14.75,-11.9375
2009-03-01,-35.0,-28.25,-26.125,-24.75,-23.5,-22.3,-21.25,-20.125,-19.25,-18.875,-14.0,-11.125
2009-04-01,-20.625,-20.25,-19.5,-18.625,-17.75,,-17.125,-17.25,-16.625,-16.25,-11.75,-8.75
2009-05-01,-13.0,-10.0,-8.625,-8.1,-7.6,-7.18,-7.0,-7.56,-7.44,-5.9,-2.8,-1.9
2009-06-01,-16.5,-10.5,-7.125,-4.85,-2.75,-2.7125,-3.625,-3.4875000000000003,-3.8,-3.0,0.2875,2.0
