Date,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,15Y,20Y,30Y
2008-01-01,,,,9.6875,10.625,11.4375,12.5,12.9375,12.8125,12.5625,12.25,11.9375,11.6875,10.65,10.125,8.8125,6.875
2008-02-01,,,,9.95,11.0,12.0,12.15,12.3,12.2,12.1,12.0,11.9,11.75,12.02,11.55,9.65,7.5
2008-03-01,,,,8.0,9.625,11.0,11.75,12.375,12.375,12.375,12.375,12.375,12.375,12.1,12.0125,10.375,7.0625
2008-04-01,,,,2.325,4.375,5.625,6.625,7.375,7.625,7.375,7.575,7.55,7.25,7.225,6.625,6.125,5.375
2008-05-01,,,,7.06,9.0,10.4,10.75,11.1,11.419999999999998,11.059999999999999,11.179999999999998,11.120000000000001,10.7,10.6,9.1,8.15,6.5
2008-06-01,,,,6.375,9.25,11.0625,11.125,11.0,10.7625,10.4375,10.2375,9.95,9.875,8.55,6.3125,4.0,2.625
2008-07-01,,,,7.8125,11.5625,14.6875,16.4375,16.9375,17.125,17.0,16.958375,16.729125,16.375,14.5,11.25,8.375,5.09375
2008-08-01,,,,13.25,18.625,22.325,24.9,27.0,26.3,27.25,26.3666,26.3834,26.95,23.64,19.95,16.75,11.65
2008-09-01,,,,26.1875,32.6875,36.625,39.25,40.46875,40.625,41.53125,41.125,40.875,39.875,34.525,30.6875,27.875,21.0
2008-10-01,,,,9.8,15.3,18.05,21.2,23.525,23.8,24.625,24.5,24.0,23.7,21.35,15.925,12.0,6.025
2008-11-01,,,,3.1875,5.6875,8.375,10.0625,10.5625,13.4375,11.625,13.0625,11.75,10.5,11.8875,5.96875,1.6875,0.34375
2008-12-01,,,,-10.0,-11.53125,-12.375,-12.25,-12.75,-14.875,-12.75,-14.875,-14.875,-12.75,-15.375,-16.8125,-18.625,-21.5
2009-01-01,,,,7.7,5.1,3.6,2.8,2.4,2.15,-1.325,1.9333399999999998,1.6666600000000003,0.375,-1.5850000000000002,-3.825,-6.075,-11.25
2009-02-01,,,,20.6875,19.625,19.4375,19.0,18.75,18.78125,17.6875,17.8542,17.4583,16.6875,15.363750000000001,11.5625,8.3125,1.5625
2009-03-01,,,,8.625,8.375,7.125,7.6875,7.0,7.5,6.75,7.25,7.1875,6.0625,5.9125,2.68725,-0.8125,-7.9375
2009-04-01,,,,12.25,10.75,10.75,10.625,10.75,10.875,10.25,10.5,10.375,10.625,6.3475,3.3123750000000003,0.625,-6.375
2009-05-01,,,,15.55,15.3,14.7,14.1,13.55,12.3,12.85,11.2,11.0,12.0,7.93,2.1,-3.0,-10.4
2009-06-01,,,,10.5,12.1875,12.8125,13.37505,13.62505,12.875,12.68755,11.850000000000001,11.475,10.56255,7.15,1.3125,-6.75,-14.68755
2009-07-01,,,,8.5,13.0,13.8,14.0,13.7,13.05,12.6,11.916599999999999,11.3834,10.500020000000001,7.7700000000000005,3.15,-5.4,-13.599979999999999
2009-08-01,,,,8.125,12.0,13.25,13.5625,13.875,13.625,13.125,12.614625,12.041625,11.5,9.21875,4.90625,-3.5,-10.875
2009-09-01,,,,2.1875,9.375,12.5625,13.625,14.1875,14.0,13.4375,13.0,12.8125,12.4375,9.6875,5.0625,-2.75,-13.3125
2009-10-01,,,,2.05,8.7,12.7,14.65,16.0,16.4,16.9,17.15,17.25,17.2,15.9,13.7,6.6,-3.896
2009-11-01,,,,-0.6875,7.5,12.625,14.625,15.6875,16.125,16.375,16.375,16.375,16.25,16.25,15.0,8.5,-2.6875
2009-12-01,,,,-2.1875,5.8125,10.6875,13.25,14.3125,15.0,15.5,15.65625,15.75,15.8125,14.8125,13.25,6.8125,-3.4375
2010-01-01,,,,-4.2,3.95,8.3,11.05,12.2,12.6,12.85,13.15,13.35,13.4,12.45,10.45,4.15,-5.75
2010-02-01,,,,-5.3125,2.5,7.0625,9.6875,11.25,11.5,11.75,11.9375,12.0625,12.0,11.375,8.875,2.0625,-7.625
2010-03-01,,,,-5.6,1.5625,5.84375,8.65625,10.09375,10.75,11.0625,11.375,11.625,11.625,10.8125,6.65625,0.5625,-9.25
2010-04-01,,,,-9.05,-1.55,3.675,6.875,9.125,9.95,10.875,11.33334,11.81666,12.45,11.2,7.35,0.65,-8.85
2010-05-01,,,,-9.1875,-1.0,2.75,5.78125,8.1875,9.734375,10.40625,11.628625,12.13375,12.4375,11.625,7.40625,0.875,-8.875
2010-06-01,,,,-0.1875,4.71875,8.0625,10.421875,12.328125,13.75,14.65625,15.4375,15.84375,15.96875,15.28125,12.34375,4.625,-5.59375
2010-07-01,,,,0.085,5.225,8.025,10.29376,12.131260000000001,13.0975,14.0375,14.625,15.025,15.3375,14.3875,11.375,5.55,-4.9
2010-08-01,,,,2.2875,7.25,9.75,11.78125,13.5469,14.40625,15.234375,15.796875,16.125,16.4297,15.0625,11.59375,5.34375,-6.5625
2010-09-01,,,,-1.06875,6.375,10.593775,13.64845,15.640625,17.03125,17.140625,17.921875,17.703125,17.265625,15.65625,11.0,4.0625,-8.0625
2010-10-01,,,,1.06,5.775,9.693760000000001,12.72502,14.85,15.711500000000001,16.49376,17.075,17.1875,17.16876,15.526,11.9,4.95,-8.5
2010-11-01,,,,-1.20625,5.53125,9.531275,12.07815,14.13285,15.0625,15.890625,16.354175,16.630200000000002,17.015625,16.090625,13.59375,7.1875,-5.46875
2010-12-01,,,,-1.7,4.2,8.775,11.175,13.5375,14.7,14.98126,16.04442,16.502699999999997,16.55,15.410000000000002,12.275,6.0,-9.0
2011-01-01,,,,-2.5625,3.4375,8.21875,10.375,12.453125,13.1875,14.359375,14.859375,15.703125,16.625,15.1,12.125,5.53125,-8.75
2011-02-01,,,,-5.15,3.03125,7.25,9.3125,11.33595,12.3125,13.34375,14.125,14.625,15.15625,14.4375,11.3125,4.25,-10.25
2011-03-01,-16.083333333333332,-11.0,-7.793333333333333,-2.50175,1.4374500000000001,6.2797,8.546875,10.501575,11.73625,12.4675,13.390625,13.882825,14.120000000000001,13.5,10.859375,4.21875,-10.25
2011-04-01,-16.6,-11.0,-8.4,-7.042,1.02498,5.19378,8.181280000000001,10.16628,11.012,12.048300000000001,12.6175,13.054759999999998,13.44754,12.857499999999998,11.275,5.2125,-9.05
2011-05-01,-13.5,-8.5,-6.5625,-4.55,1.0547,4.945325,8.18125,10.20625,11.270825000000002,11.6425,12.2575,12.441675,12.40625,12.209175,10.6875,5.40625,-8.375
2011-06-01,-17.25,-11.625,-9.4375,-6.75,-0.965,3.43125,6.7625,9.138725,10.465,11.002500000000001,12.1675,12.7,12.413725,12.5175,10.3125,4.775,-7.1875
2011-07-01,-15.8,-11.2,-9.3,-7.425,-1.19164,2.92,6.50004,8.975,10.158,11.751000000000001,12.43,13.39,14.275,13.91,12.7,7.6,-3.35
2011-08-01,-16.625,-11.875,-9.9375,-8.15625,-1.66875,2.87505,7.03125,10.06255,11.6875,13.3438,14.25,15.125,16.00005,15.625,13.90625,9.125,-3.1875
2011-09-01,-13.4,-9.0,-6.85,-5.825,0.925,4.720000000000001,8.14498,11.055,13.055000000000001,14.7,15.55,16.598,17.332,17.214,14.855,9.675,-2.575
2011-10-01,-6.125,-2.875,-1.3125,-1.125,2.375025,4.856275,6.95,9.4375,11.0375,12.78125,13.89375,14.8875,15.71875,15.5875,12.625,7.65625,-4.937525
2011-11-01,-1.625,2.125,3.0625,3.6875,5.2,6.66875,8.375,10.1375,11.70875,13.2125,13.88125,14.85125,15.425,14.7625,11.25,5.5625,-8.09375
2011-12-01,6.2,7.6,8.05,9.05,9.01318,9.15376,9.31398,9.62878,10.55326,11.56086,12.35322,12.967179999999999,13.1895,12.36558,6.65,0.8190799999999999,-13.908420000000001
2012-01-01,8.875,9.125,9.8125,10.187525,10.25,10.40625,10.671875,10.921875,11.39125,11.687525,11.9814,12.375,12.500025,11.362525,6.59375,-0.28125,-14.53125
2012-02-01,6.75,6.75,7.0625,8.0625,8.4375,8.70625,9.106225,9.4875,9.825,10.0625,10.346875,10.613774999999999,10.891250000000001,9.6094,4.59375,-3.15625,-15.250025
2012-03-01,-0.2,4.2,5.7,7.069459999999999,8.55002,10.06742,11.025020000000001,12.087520000000001,12.834980000000002,13.54502,13.9145,14.28974,14.425,12.975,8.125,0.57502,-13.55
2012-04-01,-2.0,1.25,3.71875,5.875,7.906225,9.125,10.84375,12.1875,12.7031,13.124975,13.437475,13.656225,13.874975,12.4375,7.75,0.343725,-13.40625
2012-05-01,-2.3333333333333335,2.5,3.25,4.5625,7.03125,8.66875,10.34375,11.78125,12.0,12.34375,12.5,12.75,12.9375,11.625025,6.828125,-1.187525,-16.25
2012-06-01,-6.2,-1.8,-0.55,1.34998,3.675,5.6625,7.15004,8.58506,8.85004,9.15004,9.12504,9.18754,9.17258,6.825,0.9875,-7.65,-21.825
2012-07-01,-4.75,-1.25,0.75,1.437525,3.81255,5.12505,6.312525,7.62505,8.000074999999999,8.5,8.50005,8.25005,8.09375,5.687525,-1.09375,-9.25,-27.0
2012-08-01,-5.8,-4.6,-0.25,1.5500399999999999,4.55004,5.75004,6.9500399999999996,7.87504,8.25004,8.57504,8.70004,8.80004,9.05004,6.05,-0.275,-9.3,-26.15
2012-09-01,-7.75,-5.5,-2.59375,-0.6875,3.781275,5.87505,7.53135,9.156275,9.843824999999999,10.65635,11.075099999999999,11.450099999999999,11.8126,9.3125,2.75005,-6.375,-25.31255
2012-10-01,-13.25,-9.25,-6.75,-4.62505,0.281275,3.5313499999999998,5.53125,7.28125,8.249975,9.500025,10.187475,10.687525,11.093774999999999,9.374975,2.6875,-6.375,-24.625125000000004
2012-11-01,-18.9,-14.7,-11.6,-8.44998,-1.725,2.15,4.94998,7.42498,8.69998,9.79992,10.749979999999999,11.54998,12.22496,10.7,5.5,-2.1500399999999997,-15.700080000000003
2012-12-01,-19.5,-15.5,-12.125,-8.937475,-2.625,1.593725,4.5625,7.3125,8.718725,10.0625,11.406225,12.406225,13.25,12.21875,7.75,1.0,-10.0
2013-01-01,-19.875,-16.875,-13.4375,-10.25,-4.06245,0.1875,3.25015,6.12515,7.9375,9.000225,10.500025,11.500025,12.000074999999999,11.187525,7.125,0.9688,-10.187574999999999
2013-02-01,-20.25,-17.5,-15.0625,-13.0625,-6.25,-2.2186500000000002,1.0000999999999998,3.9375750000000003,5.5,7.000025,8.4375,9.375,9.687574999999999,9.625,6.8125,1.875,-6.8125
2013-03-01,-19.1,-17.3,-15.1,-13.2,-6.97496,-3.0249200000000003,-0.42492,1.8450599999999997,3.34,4.6250599999999995,5.61,6.45,7.1301000000000005,6.7700000000000005,5.12496,1.3,-5.40004
2013-04-01,-18.5,-16.75,-14.8125,-13.1875,-7.968675,-4.250075,-1.6251,0.18755,1.9375,3.0937,4.25,4.875,5.12495,4.8125,1.593675,-1.1875,-8.125
2013-05-01,-16.0,-15.2,-13.8,-12.5,-8.15,-5.1,-3.1,-1.5,-0.1875,0.6498999999999999,1.1,1.35,1.6,1.075,-1.7250999999999999,-4.7,-11.1
2013-06-01,-12.0,-11.25,-10.375,-9.5,-6.5625,-3.875,-2.3125,-1.1875,-0.4375,-0.124975,0.125,0.375025,0.625,0.28125,-2.81255,-5.9375,-12.25
2013-07-01,-11.25,-10.25,-9.4375,-8.125,-6.5,-4.281325,-2.906325,-2.343825,-2.0375,-1.937475,-1.75,-1.625,-1.562575,-2.2875,-4.5,-7.0,-13.0
2013-08-01,-13.2,-11.4,-9.8,-8.0,-5.90002,-3.85004,-3.10004,-2.6500399999999997,-2.7,-2.75004,-2.9,-2.95,-3.0500599999999998,-3.2,-4.67506,-5.6,-9.6
2013-09-01,-11.0,-10.0,-8.8125,-8.25,-5.625025,-3.500025,-2.437525,-1.562525,-1.5625,-1.9061500000000002,-2.75,-3.0,-2.5624000000000002,-2.0,-4.0,-5.125,-8.375
2013-10-01,-11.0,-9.75,-8.125,-6.45,-3.6875,-0.9166666666666666,1.3125,2.6875,3.09375,2.875,2.8125,2.75,2.625,2.5625,1.875,0.25,-2.375
2013-11-01,-11.0,-10.0,-8.4,-6.85,-3.0,-0.28125,1.1,2.05,2.15,2.125,2.15,2.2,2.59375,1.6,0.125,-1.275,-3.875
2013-12-01,-12.0,-11.0,-9.625,-8.8125,-4.6875,-2.03125,-0.5,0.4375,0.40625,0.4375,0.40625,0.46875,0.53125,0.125,-1.40625,-2.96875,-5.6875
2014-01-01,-14.2,-11.8,-10.5,-9.675,-5.85,-3.15,-1.03125,-0.125,0.075,0.075,0.3125,0.4375,0.28125,-0.03125,-1.1875,-2.8,-5.2
2014-02-01,-15.5,-12.25,-11.8125,-11.125,-7.71875,-4.5,-2.6875,-1.4375,-1.1875,-0.90625,-1.0,-0.6875,-0.625,-0.8333333333333334,-1.5625,-2.46875,-3.75
2014-03-01,-16.25,-13.5,-13.3125,-12.8125,-9.3125,-5.75,-2.9375,-1.125,-0.8125,-0.625,-0.375,-0.08333333333333333,0.75,0.5625,0.5,0.75,1.75
2014-04-01,-15.0,-13.0,-12.75,-12.9375,-9.65625,-5.875,-2.875,-0.9375,-0.5,-0.125,0.1875,0.5,0.546875,0.375,0.25,0.625,1.28125
2014-05-01,-14.8,-13.4,-12.85,-12.4,-8.85,-5.2,-2.1,-0.16666666666666666,0.55,1.5625,1.65,2.0,2.3,2.075,2.0,1.75,1.925
2014-06-01,-13.0,-12.0,-11.625,-11.6875,-8.625,-5.6875,-2.84375,-0.625,0.4375,1.3125,2.458,3.3537,3.9219,3.625025,3.500025,3.1875,2.937525
2014-07-01,-14.125,-12.5,-11.625,-10.8125,-8.625,-6.4375,-3.875,-1.5625,-0.40625,1.0,2.0,3.375,3.9375,3.59375,2.96875,2.84375,2.0625
2014-08-01,-15.5,-13.3,-12.35,-11.6,-9.2,-6.8,-4.2,-2.1875,-0.649,0.65,2.1,3.275,3.7,3.15,2.55,2.025,1.55
2014-09-01,-15.75,-13.5,-12.375,-11.1875,-7.875,-4.5,-1.1875,1.625,2.9375,3.875,5.125,5.625,6.625,5.625,4.875,4.125,3.625
2014-10-01,-10.5,-9.1,-8.4,-7.4,-4.3,-1.3125,2.05,5.1,7.0,8.2,9.475,10.075,10.35,9.6,8.65,7.6,6.575
2014-11-01,-14.25,-11.5,-10.125,-9.3125,-5.875,-2.8125,0.5,3.1875,5.1875,6.6875,8.0,9.0,9.75,9.5,7.5,5.75,4.25
2014-12-01,-19.0,-14.75,-13.25,-11.8125,-8.5,-5.5625,-2.78125,-0.125,2.1666666666666665,3.0625,5.3125,6.0625,6.0,5.8125,4.1875,2.375,1.9375
2015-01-01,-21.5,-17.5,-15.4,-13.5,-8.8,-4.7,-1.15,1.9,3.65,5.6,6.875,8.0,8.45,7.8,6.15,4.15,2.6875
2015-02-01,-23.9375,-19.1875,-16.25,-13.6875,-9.0,-4.875,-1.4375,1.78125,3.6875,5.75,6.53125,7.5625,8.25,7.5625,5.4375,2.75,0.0
2015-03-01,-21.75,-17.9375,-15.4375,-13.75,-9.0625,-5.75,-2.6875,0.0,1.937525,3.5625,5.281275,6.468775,6.937525,6.8125,4.5,1.875,-2.75
2015-04-01,-21.75,-17.9375,-15.25,-13.25,-8.625,-5.0,-1.875,1.1666666666666667,2.5,4.5,6.1875,7.3125,8.046875,7.5,5.625,2.9375,-1.8125
2015-05-01,-18.45,-15.2,-12.75,-10.85,-6.85,-3.55,-0.7,1.975,3.75,5.55,6.2,7.225,7.725,6.8,5.1,2.45,-1.65
2015-06-01,-15.5625,-12.78125,-11.125,-9.6875,-5.875,-2.6875,,2.25,3.5,4.625,5.3125,5.6875,6.03125,5.5,4.0625,1.4375,-2.0625
2015-07-01,-18.45,-14.6,-12.8,-11.35,-7.8,-4.3,-1.9375,0.75,1.9,2.85,3.95,4.3,4.65,4.2,2.7,-0.1,-3.65
2015-08-01,-27.625,-19.75,-16.0,-13.0625,-8.5,-4.625,-1.90625,0.75,1.71875,2.5,2.875,3.4375,3.5625,2.75,1.09375,-1.5,-5.25
2015-09-01,-29.875,-21.625,-16.6875,-13.6875,-8.625,-4.6875,-1.84375,0.8125,1.75,2.375,2.625,3.125,3.28125,2.5,0.625,-1.5625,-4.75
2015-10-01,-29.0,-23.75,-20.05,-16.55,-10.55,-5.85,-3.0,-1.0833333333333333,0.15,0.9,1.875,1.95,2.075,1.6,0.2,-0.75,-2.1
2015-11-01,-35.375,-28.4375,-25.0,-21.8125,-16.75,-11.8125,-7.8125,-4.875,-4.03125,-3.3333333333333335,-1.625,-1.125,-0.921875,-0.875,-0.71875,-1.1875,-1.1875
2015-12-01,-33.0625,-25.125,-22.0625,-19.6875,-13.5625,-9.125,-5.875,-3.3125,-1.96875,-0.75,0.3125,1.6875,2.328125,2.3125,2.25,2.4375,3.75
2016-01-01,-29.0,-24.35,-22.5,-20.05,-13.9,-9.6,-5.675,-3.025,-1.85,-0.95,0.041666666666666664,0.75,1.325,1.1875,0.75,0.5,0.65
2016-02-01,-26.0,-22.9375,-21.5,-19.625,-14.375,-10.5625,-7.0,-4.0,-2.9375,-1.375,-1.125,-1.125,-0.4791666666666667,-0.5833333333333334,-0.75,-1.1875,-1.75
2016-03-01,-28.75,-24.75,-22.3125,-20.1875,-15.59375,-11.53125,-7.53125,-4.6875,-3.4375,-2.5,-1.5625,-0.96875,-0.3333333333333333,-0.1875,-0.96875,-1.75,-3.53125
2016-04-01,-29.15,-25.85,-22.95,-22.0,-17.65,-13.5,-9.4,-6.275,-4.0125,-3.0,-1.2,-0.45,0.0625,-0.35,-1.4,-1.25,-4.1
2016-05-01,-25.5,-23.875,-22.5625,-21.125,-17.0625,-12.875,-9.3125,-5.9375,-3.15625,-1.59375,-0.3125,1.125,2.28125,2.375,1.5625,-0.6875,-3.75
2016-06-01,-27.5625,-25.5,-23.6875,-21.3125,-16.3125,-12.0625,-8.375,-4.6875,-2.125,0.75,2.8125,3.75,5.03125,5.5,4.5625,2.8125,0.625
2016-07-01,-24.125,-22.875,-22.375,-21.625,-16.5,-12.0,-7.75,-4.0,-0.875,2.25,5.0625,6.4375,8.0625,8.0,7.75,7.625,7.25
