Date,6M,9M,1Y,2Y,3Y,4Y,5Y
2009-07-01,,,-58.25,-156.5,-132.0,-105.75,-75.0
2009-08-01,,,-55.125,-161.75,-136.375,-137.125,-122.875
2009-09-01,,,-87.125,-157.625,-130.125,-189.125,-148.25
2009-10-01,,,-203.8,-249.0,-239.0,-216.0,-179.8
2009-11-01,,,-262.625,-362.0,-353.0,-282.875,-259.875
2009-12-01,,,-269.25,-331.75,-397.75,-269.125,-240.125
2010-01-01,,,-278.4,-418.9,-465.3,-210.0,-241.6
2010-02-01,,,-268.6666666666667,-457.6666666666667,-436.8333333333333,-359.3333333333333,-330.1666666666667
2010-03-01,,,-267.0,-409.375,-387.75,-417.0,-336.75
2010-04-01,,,-320.8,-464.9,-404.6,-353.2,-323.1
2010-05-01,,,-252.0,-359.0,-349.75,-263.875,-272.5
2010-06-01,,,-256.25,-310.8333333333333,-293.75,-267.5,-264.8333333333333
2010-07-01,,,-252.25,-378.5,-405.375,-350.0,-333.0
2010-08-01,,,-245.0,-343.5,-390.75,-307.5,
2010-09-01,,,-263.1666666666667,-346.0,,-360.5,
2010-10-01,,,-320.0,-491.0,-439.5,-412.75,-321.5
2010-11-01,,,-364.0,-508.5,-512.75,-583.5,-486.0
2010-12-01,,,-469.0,-481.25,-504.5,-482.0,-440.0
2011-01-01,,,-453.0,-463.0,-318.0,,
2011-02-01,,,-538.3333333333334,-478.5,-487.5,-458.1666666666667,-430.0
2011-03-01,,,-540.625,-495.73333333333335,-444.3,-389.9666666666667,-358.0333333333333
2011-04-01,,,-577.9,-520.5600000000001,-465.43999999999994,-413.78000000000003,-382.28000000000003
2011-05-01,,,-575.225,-538.025,-489.025,-445.0,-412.725
2011-06-01,,,-549.05,-535.75,-494.725,-443.6,-398.725
2011-07-01,,,-558.88,-532.3,-493.9,-446.06000000000006,-388.50000000000006
2011-08-01,,,-523.775,-501.05,-477.975,-429.075,-403.55
2011-09-01,,,-516.0600000000001,-479.71999999999997,-453.93999999999994,-414.0,-382.62
2011-10-01,,,-455.1666666666667,-421.1666666666667,-407.09999999999997,-376.6333333333334,-342.3
2011-11-01,,,-435.6,-386.075,-369.55,-343.3,-317.85
2011-12-01,,,-368.5,-316.34000000000003,-294.64,-281.08000000000004,-255.18
2012-01-01,,,-316.46666666666664,-288.73333333333335,-296.90000000000003,-270.1666666666667,-261.59999999999997
2012-02-01,,,-390.375,-347.7,-322.625,-303.55,-284.375
2012-03-01,-398.625,-398.5,-375.44,-342.52000000000004,-314.54,-296.1,-268.4
2012-04-01,-362.75,-359.0,-352.25,-330.45,-306.625,-284.5,-265.375
2012-05-01,-323.875,-304.5,-312.875,-296.625,-280.275,-264.2,-235.425
2012-06-01,-272.4,-257.0,-247.16,-238.6,-247.3,-215.88000000000002,-196.82
2012-07-01,-200.625,-207.25,-171.375,-170.625,-155.125,-142.375,-143.375
2012-08-01,-73.2,-83.1,-95.0,-100.5,-97.1,-97.8,-147.8
2012-09-01,-38.875,-65.625,-86.125,-98.5,-105.0,-112.375,-150.625
2012-10-01,-38.0,-57.166666666666664,-71.83333333333333,-116.0,-99.5,-110.5,-93.5
2012-11-01,-35.3,-70.1,-98.3,-150.3,-165.2,-161.1,-149.5
2012-12-01,-120.25,-140.625,-153.25,-192.25,-190.75,-174.875,-157.0
2013-01-01,-170.75,-179.5,-190.5,-210.75,-216.875,-195.375,-178.625
2013-02-01,-192.0,-194.5,-190.33333333333334,-213.5,-206.66666666666666,-203.16666666666666,-194.0
2013-03-01,-156.0,-167.8,-175.2,-198.7,-198.9,-197.4,-180.4
2013-04-01,-160.0,-175.875,-212.25,-209.25,-206.75,-208.5,-182.0
2013-05-01,-161.9,-173.5,-182.1,-207.5,-211.2,-215.1,-192.1
2013-06-01,-199.375,-210.0,-221.125,-220.125,-211.5,-199.5,-182.875
2013-07-01,-197.25,-203.625,-215.125,-227.25,-214.5,-191.0,-166.75
2013-08-01,-202.7,-221.5,-247.5,-249.3,-232.6,-203.1,-179.9
2013-09-01,-274.25,-283.125,-294.125,-280.125,-243.75,-211.75,-179.625
2013-10-01,-313.875,-312.0,-333.0,-329.5,-296.5,-258.75,-226.875
2013-11-01,-361.6,-372.9,-383.0,-393.9,-359.7,-326.9,-288.6
2013-12-01,-415.125,-429.375,-449.875,-455.25,-424.25,-381.875,-344.0
2014-01-01,-458.7,-471.5,-486.5,-471.0,-430.2,-392.2,-341.5
2014-02-01,-493.125,-489.25,-499.375,-474.5,-427.875,-385.625,-319.125
2014-03-01,-451.375,-445.75,-467.875,-433.75,-385.625,-342.875,-270.625
2014-04-01,-401.375,-399.0,-412.125,-391.375,-351.25,-309.25,-260.0
2014-05-01,-336.4,-362.9,-384.7,-371.3,-331.1,-286.2,-252.0
2014-06-01,-299.9,-313.975,-316.875,-307.125,-274.8,-240.625,-201.125
2014-07-01,-253.0,-281.0,-298.375,-300.875,-265.25,-225.375,-219.25
2014-08-01,-192.9,-229.2,-245.6,-256.8,-232.4,-176.2,-192.5
2014-09-01,-137.2,-173.525,-188.95,-204.5,-195.65,-147.375,-143.0
2014-10-01,-119.22,-141.45999999999998,-152.76,-165.6,-168.42000000000002,-141.7,-118.7
2014-11-01,-94.125,-108.75,-120.25,-127.125,-118.375,-102.0,-92.375
2014-12-01,-73.25,-106.5,-114.875,-134.375,-132.375,-122.375,-117.375
2015-01-01,-109.9,-115.0,-115.0,-111.1,-101.4,-104.0,-115.4
2015-02-01,-99.25,-89.5,-73.25,-42.375,-31.375,-47.125,-37.625
2015-03-01,-75.625,-76.375,-70.125,-30.625,-21.625,-30.375,1.75
2015-04-01,-130.25,-131.0,-118.875,-78.375,-62.25,-30.375,0.5
2015-05-01,-135.2,-118.7,-94.9,-64.9,-14.8,17.9,43.4
2015-06-01,-84.5,-75.0,-47.5,-13.125,7.375,40.5,53.75
2015-07-01,-41.0,-40.1,-35.3,-4.6,6.7,20.5,27.7
2015-08-01,-8.125,-32.0,-31.5,-12.625,-5.75,12.166666666666666,7.75
2015-09-01,-20.875,-55.0,-76.625,-48.75,-20.125,0.375,1.75
2015-10-01,-55.3,-82.5,-95.1,-63.0,-42.5,-3.1,-2.1
2015-11-01,-33.5,-58.5,-65.25,-27.0,-15.375,26.375,26.125
2015-12-01,-25.875,-53.75,-55.375,-14.625,-0.75,41.0,42.875
2016-01-01,-8.040000000000001,-41.72,-41.28,-9.82,2.5,37.6,34.1
2016-02-01,-83.23333333333333,-89.86666666666667,-96.96666666666665,-64.43333333333334,-38.199999999999996,4.0,-2.0
2016-03-01,-93.15,-99.925,-101.9,-64.05,-48.5,29.75,24.25
2016-04-01,-97.8,-102.2,-99.4,-79.2,-68.0,,
2016-05-01,-110.0,-110.25,-112.5,-83.75,-70.5,,
2016-06-01,-115.5,-115.625,-102.375,-82.0,-74.375,,
2016-07-01,-127.5,-129.0,-98.5,-95.5,-76.0,,
