Date,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,15Y,20Y,25Y,30Y
2008-01-01,,,,6.25,7.0875,7.4375,7.75,7.75,7.0625,6.2625,5.7625,5.3625,5.0,5.0,3.65625,1.8125,1.75,0.484375
2008-02-01,,,,5.63,6.15,6.2,6.2,6.2,5.88,5.46,4.819999999999999,4.1899999999999995,3.6,3.8,2.4,1.45,1.0,-0.5875
2008-03-01,,,,1.125,0.6875,-0.4375,-0.6875,-1.4375,-2.3000000000000003,-4.75,-4.333333333333333,-5.333333333333333,-5.25,-5.25,-8.875,-12.125,-13.875,-11.984375
2008-04-01,,,,-2.375,-1.875,-1.875,-1.875,-2.125,-4.416666666666667,-5.5,-7.5,-8.416666666666666,-8.5,-12.0,-14.75,-26.5,-30.5,-34.25
2008-05-01,,,,-0.85,0.15,0.825,1.35,1.0,-0.85,-2.2,-3.25,-4.68,-5.45,-4.6,-7.2,-10.6,-24.3,-29.7
2008-06-01,,,,-1.875,1.0,2.03125,3.125,3.125,2.0,1.15625,0.90625,0.6561250000000001,-0.875,-0.5,-4.5,-9.28125,-20.8125,-28.1875
2008-07-01,,,,-2.625,0.25,1.25,1.875,2.0,1.46875,-0.46875,-1.039625,-1.4375,-2.875,-3.5,-10.375,-18.25,-23.833333333333332,-32.625
2008-08-01,,,,-3.25,-1.875,-2.3,-3.12,-4.15,-7.109999999999999,-8.2,-9.64,-11.1,-11.01,-13.125,-21.825,-27.65,-34.666666666666664,-45.5
2008-09-01,,,,-9.25,-5.375,-3.9375,-4.78125,-5.3125,-8.75,-8.96875,-13.25,-15.5,-15.6875,-17.5,-24.875,-35.375,-44.375,-50.875
2008-10-01,,,,-27.4,-22.2,-19.3,-19.95,-20.55,-18.7,-25.55,-28.1334,-27.6666,-29.0,-31.5,-43.0,-53.6,-64.5625,-69.3
2008-11-01,,,,0.25,-1.5625,-2.8125,-3.0625,-3.0625,-11.625,-14.375,-16.875,-20.6875,-28.0,-28.375,-51.25,-65.5,-82.125,-92.9375
2008-12-01,,,,7.375,7.125,5.125,3.125,3.125,-4.5625,-16.75,-18.59375,-25.75,-31.75,-39.25,-57.625,-88.25,-107.25,-131.75
2009-01-01,,,,13.0,13.85,12.5,9.6,8.1,0.225,-12.15,-10.7834,-15.85,-21.6,-33.4,-60.65,-85.4,-109.85,-129.4
2009-02-01,,,,16.75,16.125,14.75,15.875,15.625,9.75,4.5,2.25,-4.625,-11.25,-26.375,-53.625,-79.75,-100.375,-118.625
2009-03-01,,,,16.5,17.125,17.375,16.25,16.0,11.203125,8.375,4.71875,0.5,-3.875,-19.125,-41.75,-63.6875,-80.625,-92.25
2009-04-01,,,,19.0,20.125,20.25,18.875,17.875,13.0,8.25,5.4375,0.25,-2.375,-16.75,-31.25,-49.25,-59.625,-67.125
2009-05-01,,,,18.3,19.3,18.8,17.2,15.0,9.76,4.95,1.98,-0.58,-5.95,-16.54,-32.0,-45.7,-51.9,-60.4
2009-06-01,,,,17.875,20.125,19.875,18.8125,17.3875,12.024999999999999,7.0,4.375,1.625,-1.125,-10.525,-22.46875,-33.5,-36.125,-39.53125
2009-07-01,,,,17.0,19.9,20.0,19.5,18.95,13.88,8.7,5.720000000000001,2.8,-0.2,-9.91,-22.6,-36.8,-40.6,-44.5
2009-08-01,,,,11.125,15.25,17.25,17.21875,16.375,12.4875,8.375,5.9375,3.6875,1.3125,-6.0875,-16.75,-30.4375,-35.4375,-38.71875
2009-09-01,,,,5.5375,12.125,16.4375,17.25,17.25,14.6125,10.5,8.8625,7.4,5.9375,-1.5750000000000002,-11.6875,-24.125,-28.28125,-32.3125
2009-10-01,,,,11.7,17.35,21.55,23.5,24.2,22.98,21.6,20.25,19.1,17.7,12.27,3.1,-8.55,-13.65,-17.075
2009-11-01,,,,18.1875,26.25,33.9375,38.875,39.875,38.5375,38.5625,37.5,36.375,35.3125,26.625,16.95,1.625,-2.8125,-9.9375
